Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type,C_Damage,Max_Damage
34,31 early spring BCE,-31.00000000,1,High,S,5,Strong-Major,6-6.5 (KA2); 6.7 (MIG); 6.7 (BM); 7 (BM5); 7 (TUAR),6.70000000,NULL,NULL,NULL,NULL,C,Judea,Judea (A),35.35000000,32.08000000,0,1,"Destructive event in Judea of that time. Josephus notes that during the Actium war a devastating earthquake occurred killing 30000 people (Josephus, Ant. 15, 121-124; Bel. 1, 369-379). Generally, Josephus is considered reliable but tends to exaggerate (BR; MZ) and thus 30000 deaths seems to be overestimated. Since Judea of that time extended up to Syria and Hawran and the reports are related to Herod’s battle with the Nabataeans, the epicentral region might be north of what we reckon today as Judea. The alleged damage to Jerusalem (AAT) and the Galilee (SI) are contradicted by AM. Paleoseismic evidence near Deir-Hajla (RH) and Qumran (NURO) were questioned by AM and KA3, respectively, although MK and AG (following KAG) confirm these findings while KEN dated possible seismic activity at that time in a Ze’elim terrace. WE2 found an evidence for possible event between 392 B.C.E.–91 C.E. The possibility that the latter is not necessarily related with the 31 BCE event but rather imply of other, undocumented, seismic activity cannot be ruled out. KA2 notes that this was probably a moderate event.","Near Contemporary: (Josephus, , BeI. 1.369-379);Josephus, Ant. 15.121-4;
Secondary: Mal. 229; Georgius. Mon. CS. 94;",AM; GCT; KA; KA2; SAL; BR; MZ; AAT; SI; RH; NURO; KA3; KEN; AMM; GII; WE2; TUAR; KAG; MK; AG; EKE,Historical & Paleoseimic/Archaeoseimic,16,4
39,37 Mar 23  (morning),37.00000000,-,Moderate,S,4,Strong,NULL,NULL,7.5,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,"The event is based upon Malalas (1986, 243)whom does not mention the word 'earthquake' but does mention that Antakya was damaged for the second time since the Macedonians arrived (approximately in c. 300 BCE). The first time is not mentioned but AM claims it could have been during the occupation of Syria by Tigranes in c. 69 BCE. Damage is also attributed to Daphne, a suburb of Antakya and maybe also to the Hill of Orontes.","Secondary: Mal. , p. 243",AM; GCT; SAL; AMJA; SDM;,Historical,1,4
40,c.41-54,47.00000000,14,Moderate,S,4,Strong,NULL,NULL,7,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,1,"According to Philostartus and Malalas that probably leaved in Antakya, an earthquake occurred during the reign of Claudius sometime between 41 and 54 (GCT) with resulted damage to the temples of Artemis, Ares and Hercules. GII refer to 48 CE",Secondary: Malals. CS 246; Philostr. VA. VI. 38/LCL. Ii. 130,AM; GCT; SAL; SDM; GII,Historical,1,4
43,115 Dec 13  (morning),115.00000000,-,High,MA,6,Major,7.4 (BM5); 7.4 (SDM after BM5),7.40000000,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,1,1,"According to reliable sources, the 115 CE earthquake severely damaged Antioch, Daphne and Apamea in northern Syria and other not named towns in the surroundings (AM; GCT; KA). The tsunami in Caesarea (REI, DG) and along the coast down to Yavne (SHAL) is questionable as there are no supporting contemporary indications for this suggestion and other explanations for the destruction of the harbor exist (SAL2 and references therein). Nevertheless, the event is mentioned in several catalogues (e.g., AAT) hitting or at least affecting Israel. AM cites Malalas describing damage in Rhodes at the same period. If it is of the same event, then the earthquake origin is probably off DST system. On the other hand, MGS associate earthquake with activity of the MsF which indicate of DST activity. Further investigation is required prior to associating a tsunami with this event.","Near Contemporary: Dio Cass. 68.24, 25.6/LCL; Juv. VI. 411/LCL. 116; Secondary: Eus. Hieron. Chron. 196c; Mal. 275/ Mal. 275 276/416-417; Mal. 277/420; Mal. 278/421; Eus. Hist. 164; Oros. Hist. 7.12.15; Ps.Dion.123/I 92; Chr. 724, 121/95; Mich. Syr. Vi.4/i. 17;
Inscriptions: CIL 14.4542",AM; GCT; KA; SAL; SAL2; AMJA; SDM; REI; AAT; GD; MGS,Historical & Paleoseimic/Archaeoseimic,9,5
53,303 Apr 2,303.00000000,-,High,S,5,Strong-Major,"7.1 (BM: Ben-Menahem 1991); 7.1 (MIG: Migowsky et al 2004, After Ben-Menahem 1991); 7.1 (Sbeinati et al, 2005)",7.10000000,NULL,NULL,NULL,NULL,C-N,"Sidon, Tyre, Syria",Syria (A),37.03000000,34.93000000,0,1,"Damaged mainly the south Lebanese littoral. Eusebius and Orosius date the event to 303 and describe damage in Syria, Sidon and Tyre (AM; GCT). They describe large numbers of people (Eusebius) or thousands (Orosius) who were killed. The numbers however, seems to be exaggerated. The fact that the affected cities are located along the Lebanese littoral may suggest that the event may have been generated somewhere offshore. WE2  found an evidence for a possible event between  250–310 C.E or 269–329 C.E. or 294–369 C.E.","Contemporary: Eus. Mart. Pal. 4.15; 
Near Contemporary: Eus. Hieron. Chron. 228a; Oros. Hist.7.25.14
Inscriptions: Dussaud (1896, 299)",AM; GCT; SAL; SAL2; RUS; SDM; GII; WE2,Historical,6,4
55,347 Sep (348/349),347.00000000,1,Moderate,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Beirut,Beirut,35.48000000,33.89000000,0,1,Based upon the two Secondary sources but reliable sources of Theophanes and Cedrenus. WE2  found an evidence for a possible event between  269–329 C.E. or 294–369 C.E. but they point in might be associated with the 303 or 363 CE events (appendix A).,Secondary: Theoph. 39; Cedren. 523,AM; GCT; SAL; SAL2; SDM; GII; WE2,Historical,1,5
56,363 May 18-19 (3rd hour-night),363.00000000,-,Very High,MA,5,Strong-Major,6.7 (BM); 6.4 (BM5); 7 (TUAR); 6.7 (MIG after BM); 6.5-6.7 (AG),6.70000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,"Two events, on Sunday, 18/05 at the 3rd and 9th hours after sunset (i.e., Monday, 19/05 at around 03:00). The latter seems to have been less damaging and affected the northern parts of Palestine (GCT; AM; KA). The damage in Antakya as reported by Libanius seems to have resulted from the 365 earthquakes (see Appendix 4). The earthquake extent is described in a contemporary Syrian letter attributed to Cyril, the Bishop of Jerusalem (Brock, 1977). The record of damage in Petra is supported by three inscriptions found in Zoar of 4 people who perished during the earthquake (MEI). Additional questionable records of the earthquake are also found in archaeological excavations (RUS; RUS2) and paleoseismic findings (KEN). WE2 found an evidence for a possible event between 294–369 C.E. MK suggest that the source of the event is the Dead Sea fault. However, KAG suggest that two events of M ~ 6.5, one from 363 north of the Dead Sea and one from a close date south of the Dead Sea, had been erroneously amalgamated to a single M > 7 event. AG summarizes the findings from the Dead Sea region noting the absence of matching from Zee'lim Creek and Ein Gedi core by KEN, MIG and KAG but suggest of two consecutive earthquakes although notes that this event needs further research. KKW correlated rock falls with this earthquake at the north of Galilee. ZSR analyzing the N-S damage extent of the 363 observed relatively large extent in compare to other central earthquakes suggesting that the source of the earthquake was probably two events instead of one (see also next entry)","Contemporary: Lib. Or. i. 134/Foersteri. 147ff; Brock, 1977; Ammian. XXIII. i. 2-3/LCL. Ii; Greg. Naz. Contr. Iul. Ii, 149/ 668-9; Socr. Sch. Iii.20; Sozomen v. 22; Theodor. HE 3.20; Hieron. Comm. Is. PL 24, 15, c.168 ; 
Secondary: Ps.Dion 178/i. 132; Chron. 846, 199; Chron 724 133; Mich. Sy. 4.146; Church. Alex 1.42; 
Inscriptions: Meimaris & Kritikakou-Nikolaropouloun 2005, nos. 22-24",AM; GCT; KA; SAL; RUS; RUS2; SDM; KEN; GII; MEI; AMM; WE2; AG; KAG; MIG; MK; ZSR; KLA; KKW,Historical & Paleoseimic/Archaeoseimic,39,5
61,418/419,418.00000000,1,Moderate,U,4,Strong,6.2 (TUAR: Turcotte and Arieh 1988); 6.9 (MIG: Migowsky et al 2004);,6.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,"Affected Palestine at that time. Event reported by two contemporary writers, Augine and Idatius. AM suggests that Augine, claiming that “great cities collapsed”, could be interpreted as a theological poet and Idatius mentions Jerusalem and others but   was writing far away in the Roman province. Archaeological remains (RUS) need authentication.","Contemporary: Aug. Serm. 19.6; Hydat. Charon. 66 (=71a Tranoy); 
Secondary:  Marcell. Com.74.8-9",AM; GCT; KA; SAL; RUS; GII,Historical,7,1
67,455 Sep,455.00000000,-,High,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Tripoli,Tripoli,35.83000000,34.43000000,0,0,"The main source for this event is the near-contemporary Malalas who’s allegedly accounted as using reliable primary sources. The fact that he is close to the event (491-578) attributes reliability to the event occurrence. However, Malalas do not mention any other damaged location (in particular Antakya). Moreover, no other source reports of damage in major cities (e.g., Damascus, Beirut). This lead to an option that the event had actually occurred but rather offshore (AM; GCT). Note that Michael the Syrian attributes effects to ‘all the entire inhabited world’ – maybe an event that happened far away and affected the Mediterranean.","Near Contemporary: Malalas CS 367; Malalas S 87;
Secondary: Ps. Dion. C. AD 775; Chron Ps. Dion CH 168; John Eph. NA 458; Mich. Syr. Viii. 14/ii. 122",AM; GCT; SDM;,Historical,1,0
68,458 Sep 14,458.00000000,-,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,"Antioch, Seleucia",Antakya,36.16000000,36.20000000,0,0,"Contemporary (citation serverus) and near contemporary (malalas) report of the earthquake and imply it had probably occurred. However, the date is in some disagreement. The second event (see next entry), related as its aftershock is questionable.","Near Contemporary: Sev. Ant. Hom. 31, 118-126/652-660, 128-130/662-664; Malalas 369/549; Malalas S. 369/89
Secondary: Evgar. Ii. 12; Ps.Dion. i. 227/168ff; Chron 724, 140/108-110; Gennadius De Vir. Ill. 67/99; Marc. Com. 930; Sym. Styl. 133/174; Sym. Styl. 136/177; Theoph. 110",AM; GCT; SAL; SDM;,Historical,1,4
70,c.476 Sep,476.00000000,5,High,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Jablah (Gabala),Jabalah,35.92000000,35.35000000,0,0,"Malalas is a near contemporary source, despite the fact that is hard to derive an exact date.","Near Contemporary: Malals 378/561-564; Malalas S. 378/97
Seconadry: Ps.Dion. i.229/170",AM; GCT; SDM;,Historical,1,4
72,502 Aug 22 night,502.00000000,-,High,S,5,Strong-Major,7 (TUAR); 7 (MIG after BM); 7 (BM),7.00000000,NULL,NULL,NULL,NULL,C-N,Akko,Akko,35.07000000,32.92000000,0,1,Damage reported along the northern coastline of Israel. The absence of damage inland may suggest an offshore epicenter (AM). WE2 found an evidence for a possible event between 505–593 C.E. KKW correlated rock falls with this earthquake at the north of Galilee,"Contemporary: [Ios. Styl.] Syr. Versio 43-4
Secondary: John Eph. NA 463",AM; GCT; KA; SAL; RUS; SDM; GII; WE2; KKW,Historical & Paleoseimic/Archaeoseimic,5,5
75,526 May 29 (evening),526.00000000,-,Very High,FMA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,Moderate earthquake that has ruined Antioch for the fifth time and also affected its vicinity. Several contemporary and near contemporary leave no doubt regarding its occurrence.,"Contemporary: Malals. 418-422/620-621; Malals. 418-421/125-131; Zach. Mit. Vii.4; Evagr. Iv. 5-6/155-156; Procop. Bell. Goth. II.xiv.5-7/LCL. I 382; Procop. Anced. Xvii.41/LCL/. Vi.224; 
Near Contemporaty: Chron. Edess.xcvii/10;   Secondary: Marc. Com. 941; Ps. Dion. Ii. 47-52; Ionnn. Nik. Xc.24-34/135-137; Theoph. 172-173;",AM; GCT; SAL; SDM;,Historical,2,5
76,528 Nov 29,528.00000000,-,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,1,AM: Many of the casualties in Antakya were builders and carpenters that were working to rebuild the damages from the 526 event. The alleged event of 529 is probably duplicated from this event,"Contemporary: Evagr. 155-156; John. Eph. NA 476-478; Procop. Anecd. Xviii.41/LCL.vi.224; 
Secondary: Cedr. Cs i.646; Mich. Syr. CH ii.193-195; Chron 1234, 153; Ps.Dion. Ii. 76/56ff; Mich. Syr. Ix. 21/ii. 193-195; Meg. Chron. 4; Jac. Edess. 318/240; Theoph. 177-178; Eli. Nis. 57/119; Chron. 1234, 194-195/153; Chron. Edess. Xcvii f./10",AM; GCT; SAL; SDM; GII,Historical,3,4
78,534,534.00000000,1,Moderate,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,"The only source is contemporary Malalas, accounted at this stage to live in Constantinople (AM) having little access to Antakya's records",Contemporary: Malals. 478/693,AM; GCT; SDM;,Historical,1,0
83,551 Jul 9,551.00000000,-,Very High,MA,6,Major,7.8 (TUAR); Ms=7.2 (DAR); 7.5 (MIG); 7.5 (BM); Mw=7.5 (ELI),7.50000000,NULL,NULL,NULL,NULL,C-N,"Lebanon, Syria, Beirut",Lebanon (A),35.87000000,33.84000000,1,1,"Damaged mainly the south Lebanese littoral. John of Ephesus describes a tsunami and two events, about 1 hour apart from each other. According to AM, Agathias mentions this event in reference to Alexandria, where he was that year. However, GCT places this report in 554 as an event felt in Egypt and adds an event, also reported by Agathias that occurred during 554-558 in the island of Cos. This and the facts that only coastal cities in Lebanon were damaged and that there was a tsunami, leads to an assumption that Agathias might have duplicated a remote event. The other alternative is that the epicenter was in the sea or inland, very close to the shore (AM). Caesarea and Gush-Halav could have been affected (RUS). Jerusalem was not reported as damaged. WE2 found an evidence for a possible event between 505–593 C.E. ELI suggest unknown rupture of the offshore of ~100–150-km-long active, east dipping Mount Lebanon thrust close to the shore of Lebanon. KKW correlated rock falls with this earthquake at the north of Galilee","Contemporary: Ant. Plac. 159; Ioh. Ephes. 3.326-7; Vita S. Sym. Stil. Iun. 105; Mal. 485; Agath. 2.15 
Secondary:  Theoph. 227; Cedren. 659; Ps.Dion ii. 128/96; Ps.Dion. Ii. 132-133/99; Ps.Dion. Ii. 133-136/100-102; 
Look for FHT 4/1821-1824 ( fragma.Tauscul ) in ambraseys and fragma.Tauscul, Georgius and Mich. Syr in guidoboni.",AM; GCT; KA; SAL; SAL2; RUS; SDM; GII; DAR; WE2; ELI; TUAR; MIG; BM; KKW,Historical & Paleoseimic/Archaeoseimic,25,4
85,558 Jun,558.00000000,-,Moderate,C,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,Could be two separate events. GCT refers also to c.570,Contemporary: John of ephesus Near contemporary: James of Eddesa Secondary: Elias of Nisibys; Chron. 724; Thephanes; Cedrenus,AM; GCT;,Historical,2,4
87,577,577.00000000,1,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,AM: Evagrius Scholasticus (6th century) is the sole writer,Contemporary: Evagr. V. 17,AM; GCT; SDM;,Historical,1,3
88,c.577,577.20000000,1,High,A,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,According to Evagrius Scholasticus. AM: probably aftershocks of the 577 event,Contemporary: Evagr. V. 17,AM; SDM;,Historical,1,1
89,588 Oct 31,588.00000000,-,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,1,"Probably occurred (AM; GCT). One of the first events that is mentioned, apart from Byzantine and Syriac sources, also in Arabic sources","Contemporary: Evagr. Vi.8;
Near Contemporary: Ioann. Nik. Ci/163
Secondary: Niceph. Cal. Xviii. 13/825; Mich. Syr. X.21/ii. 359; Chron 1234, 213/168; Abu’l Faraj 91/84-85",AM; GCT; SAL; SDM; GII,Historical,2,4
95,634 Sep,634.00000000,2,Moderate,MA,4,Strong,"6 (moderate damage, personal jujdement)",6.00000000,NULL,NULL,NULL,NULL,C,"Palestine, Jerusalem",Jerusalem,35.23371042,31.77430227,0,1,"Affected Palestine at the time. The event is based upon the evidence of Theophanes (ca. 778-845), credited as reliable (AM; GCT). Byzantine sources (Michael the Syrian, 12th century) and Arabic sources (al-Makin, Abu’l Fara) seem to copy Theophanes. AM proved that the testimony of Michael the Syrian is somehow vague, stressing that contemporary source remains silent. WE2 found an evidence for a possible event between 619–684 C.E. HNA correlated an evidence in Qasr Tilah (might be also 659)",Secondary sources:  Theoph. 336; Mich. Syr xi. 4/ii.414;  Mich. Syr xi. 5/ii.419; al-Mak. HS. I 2/19; al-Mak. HM. i. 2/20; Abu’l Fara 100/93,AM; GCT; KA; SAL; RUS; SDM; WE2; GII; HNA,Historical & Paleoseimic/Archaeoseimic,7,3
95,634 Sep,634.00000000,2,Moderate,MA,4,Strong,"6 (moderate damage, personal jujdement)",6.00000000,NULL,NULL,NULL,NULL,C,"Palestine, Jerusalem",Tiberias - Southern Gate,29.75160000,33.67970000,0,1,"Affected Palestine at the time. The event is based upon the evidence of Theophanes (ca. 778-845), credited as reliable (AM; GCT). Byzantine sources (Michael the Syrian, 12th century) and Arabic sources (al-Makin, Abu’l Fara) seem to copy Theophanes. AM proved that the testimony of Michael the Syrian is somehow vague, stressing that contemporary source remains silent. WE2 found an evidence for a possible event between 619–684 C.E. HNA correlated an evidence in Qasr Tilah (might be also 659)",Secondary sources:  Theoph. 336; Mich. Syr xi. 4/ii.414;  Mich. Syr xi. 5/ii.419; al-Mak. HS. I 2/19; al-Mak. HM. i. 2/20; Abu’l Fara 100/93,AM; GCT; KA; SAL; RUS; SDM; WE2; GII; HNA,Historical & Paleoseimic/Archaeoseimic,7,3
98,659 Jun 7 (659 Sep-660 Aug),659.00000000,-,Moderate,MA,4,Strong,"6.6 and 6.6 (Ben-Menahem 1991, 1979)",6.60000000,NULL,NULL,NULL,NULL,C,"Palestine, Jericho",Palestine (A),35.20000000,32.39000000,0,1,Probably caused damage to central Palestine at the time. The date of event is confused in the Maronite chronicles and by Theophanes though their implication of damaged localities seems to be correct (GCT; AM). This event might be merged with the 634 event. Archaeological evidence (RUSS) is not decisive. The 659 Jun 9th is probably an aftershock of this event (AM). WE2 found an evidence for a possible event between 619–684 C.E. HNA correlated an evidence in Qasr Tilah (might be also 634). KKW correlated rock falls with this earthquake at the north of Galilee,"Contemporary Sources: Chron. Maron 71/55; Chron. Maron 70/54-55 
Secondary sources: Theoph. 347; Elias Nisib. Syr.Versio 140-1; Descriptio Terrae Sanctae",AM; GCT; KA; SAL; RUS; GII; BM; WE2; HNA; KKW,Historical & Paleoseimic/Archaeoseimic,7,4
99,659 Jun 9,659.20000000,-,Moderate,A,2,Moderate,"6.1 (Ben-Menahem, 1981)",6.10000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,0,Possible aftershock of the alleged 659 Jun 7 event,Contemporary: Chron. Mar. N 323,AM; RUS; BM4,Historical,1,0
105,713 Feb 28,713.00000000,-,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,1,"The event is documents by Theophanes, the Notita Annorum and several other secondary sources (GCT)","Contemporary: Not. Ann. 712-716, 13/264
Secondary: Theophanes 383; Chron 846, 233/177; Elias. Nis. 160/76; Mich syr.xi.17/ii.481; Chron 1234, 299-300/233; al-Ya’akubi, a. 94; al-Isfah. 187; al-Ghazzi; Ibn al-Athir; al-Suyuti 15/9",AM; GCT; SAL; SDM; GII,Historical,3,4
106,717 Dec 24,717.00000000,-,High,MA,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Syria,Syria (A),37.03000000,34.93000000,0,0,The main source is the near contemporary Theophanes,"Near Contemporary Sources: Theoph. 399; 
Secondary sources: Chron 846, 234/177; al-Isfah iii.187; Eli.Nis.161-162/177; al-Suyuti 16/9; al-Suyuti 17/9",AM; GCT; SDM;,Historical,2,0
110,c.746 Jan,746.00000000,3,Moderate,MA,5,Strong-Major,7<M<7.5 (MGS);,7.20000000,NULL,NULL,NULL,NULL,N,Syria,Syria (A),37.03000000,34.93000000,0,0,See next entry (749),"Near Contemporary Sources:Theoph. 422; 
Secondary sources: 23rd Shvat fast (book of prayers found in the Cairo Genizza depository); Abd el Rahman; Agapius of Menbidj; al-Dhah. Tar. Islam.v. 39-40; al-Mak. HS. I 2/19 + al-Mak. HM. i. 2/20; al-Suyuti 17-19/9-10; al-Ulaimi, al-Uns. i. 237-238; Anastasius bibliothecarius; Cedren. 807, 809/462A/ii.7; 463 Aii.9
; Elias Nisib. Syr. Uersio 171-2; Great Chronographer; 
Ibn Tagri Birdi, al-Nujum al-zahira 1.311; Marco et al (2003)
Mayer (1931) - the chronicle of Mujir al-Din; Mich.Syr. 466-7/Mich.Syr. Xi. 22/ii. 509-511; Minor Chronicles; Paulus Diaconus; Petrus Ibn Rahib
Sawirus, ibn-al Muq. F. 987/139-140; Seventh earthquake (liturgic poem); Sibt ibn al Jawzi;
Zonaras. 2.108",AM; KA; KA2; SAL; SAL2; MAR; SDM; AM4; MGS,Historical & Paleoseimic/Archaeoseimic,28,5
